         87183965 function calls (73275312 primitive calls) in 11.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
       51    0.000    0.000    0.000    0.000 {built-in function _thread.allocate_lock}
        7    0.000    0.000    0.000    0.000 argparse.py:1642(_add_action)
       54    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        3    0.000    0.000    0.000    0.000 argparse.py:1917(take_action)
        3    0.000    0.000    0.009    0.003 blackjack.py:90(shuffle)
        3    0.000    0.000    0.000    0.000 locale.py:352(_replace_encoding)
       17    0.000    0.000    0.000    0.000 argparse.py:1367(_registry_get)
        4    0.000    0.000    0.000    0.000 enum.py:983(__and__)
       94    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1950(consume_optional)
        8    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       11    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:101(Random)
        1    0.000    0.000    0.000    0.000 {built-in function math.exp}
       63    0.000    0.000    0.000    0.000 {built-in function posix.fspath}
       11    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        7    0.000    0.000    0.010    0.001 argparse.py:2553(_get_formatter)
        1    0.000    0.000    0.000    0.000 threading.py:791(Thread)
       15    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:608(_validate_timestamp_pyc)
        4    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      5/4    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
       24    0.000    0.000    0.000    0.000 {built-in function _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1170(__init__)
        1    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        7    0.000    0.000    0.000    0.000 argparse.py:203(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1571(_get_handler)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
       33    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       12    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        4    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       18    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:154(_path_isfile)
        3    0.000    0.000    0.000    0.000 argparse.py:2157(_match_argument)
        7    0.000    0.000    0.000    0.000 argparse.py:575(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 functools.py:529(_lru_cache_wrapper)
        2    0.000    0.000    0.000    0.000 argparse.py:1443(add_argument_group)
        7    0.000    0.000    0.000    0.000 argparse.py:1804(_add_action)
        3    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        7    0.000    0.000    0.000    0.000 argparse.py:584(format)
        1    0.000    0.000    0.000    0.000 weakref.py:394(__init__)
        6    0.000    0.000    0.000    0.000 utf_8.py:19(encode)
        2    0.000    0.000    0.000    0.000 functools.py:282(__new__)
        7    0.000    0.000    0.000    0.000 argparse.py:1580(_check_conflict)
        1    0.000    0.000    0.003    0.003 blackjack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       17    0.000    0.000    0.000    0.000 {built-in function setattr}
        2    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1186(create_module)
        1    0.000    0.000    0.000    0.000 traceback.py:287(FrameSummary)
        1    0.000    0.000    0.000    0.000 random.py:126(seed)
       13    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
        4    0.000    0.000    0.000    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        7    0.000    0.000    0.000    0.000 argparse.py:1567(_pop_action_class)
        8    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
